date,z_activity_steps,z_activity_active_calories,z_activity_resting_hr,z_sleep_total_hours,z_sleep_score,z_sleep_deep_hours,z_hrv_last_night_avg,z_body_battery_charged,z_stress_overall,anomaly_score
2025-06-26,,,,,,,,,,
2025-06-27,,,,,,,,,,
2025-06-28,,,,,,,,,,
2025-06-29,,,,,,,,,,
2025-06-30,,,,,,,,,,
2025-07-01,,,,,,,,,,
2025-07-02,,,,,,,,,,
2025-07-03,,,,,,,,,,
2025-07-04,,,,,,,,,,
2025-07-05,,,,,,,,,,
2025-07-06,,,,,,,,,,
2025-07-07,,,,,,,,,,
2025-07-08,,,,,,,,,,
2025-07-09,-0.7286430885573613,0.5214229544777527,0.11347666524409229,0.046482007958535694,-0.44109228388178795,-0.22503791510573368,-0.6873017684614471,-0.9705128465767462,,0.46674619128293215
2025-07-10,0.5581737838923497,1.7977025490947964,1.5000000000000009,-0.38163962891033926,-0.4242739130663548,1.3695366642016606,-1.0216859254634285,-0.9540390805869409,,1.000881443151984
2025-07-11,-1.119709008759811,-0.492125216190621,1.7236445991634577,-0.5201710332042246,-1.0434746517379696,-0.10592487803738083,-0.5858171434123273,-0.4786525205343256,,0.7586898813800147
2025-07-12,-0.7692449130305983,-1.3034788773834178,0.7664763204391459,0.5154187416161293,0.3793452396272415,-1.1674154971696151,0.5138789805244562,-0.009495293495526708,,0.6780942329107663
2025-07-13,-2.032024731699228,-2.389309201544457,1.8636930182675724,-1.101608194606223,-0.3213141863126887,-0.30053386773549073,-0.4723470496688176,-0.009243748548081904,,1.06125924979782
2025-07-14,1.4140808090923782,0.819956455379132,0.5694414468781895,0.22597043750313764,0.4504128715783726,-0.33829205958392267,0.535294803955756,-0.49208029207555926,,0.605691147005806
2025-07-15,0.13807188715115368,0.5869382379254922,-0.7016464154456247,0.4024314531600171,0.5471402434883232,0.38384755260489123,-0.06146003566623926,-0.42287017734582394,,0.4055507503484457
2025-07-16,-0.7504274309902179,-0.04402597638551716,0.1712665564977051,-0.16504799130864245,0.30515853137522175,-0.18675092934060677,-0.6531540824286611,-0.13012711621126066,,0.30074482681722914
2025-07-17,0.8805847784874341,0.1007800932733055,-0.2717164542233984,-0.3114878705723215,0.2978199721439715,-0.35702500552656646,0.12336961820450283,0.6782831630743187,,0.3776333694382274
2025-07-18,0.08996998193305517,0.6344261592448771,0.18401868452464412,0.8408983373642447,0.1715549354730063,0.41770386451379077,0.12074086216464062,-0.5686009413643824,,0.37848922082283015
2025-07-19,-0.8103709552675649,-0.2606901241441747,0.6352234031660253,0.1588122332552092,-0.3221014590409692,-0.11366005379161363,0.5937071923292327,-1.011853537971734,,0.48830236987081543
2025-07-20,-0.45122217919706853,-1.8560915720927347,0.6177498740042766,-2.12812092622208,-2.624875357606289,-1.292422988590732,-2.7289863906800575,-2.3317528774664544,,1.7539027707324615
2025-07-21,-0.6147857466256218,-1.0903412969315756,1.8733108507564769,-0.7007679229254261,0.10507346345498633,-1.6856354528127067,-0.2184062167890554,-0.14963234389624452,,0.8047441617740116
2025-07-22,-2.1324988492349095,-1.8683897571038903,0.051576338394832624,0.02422972323309209,0.48416404463151924,-1.0975432179204871,0.06433933959823866,0.3434567285341054,,0.7582747498313843
2025-07-23,-0.41079900390824714,-0.8558260180130182,1.7601235797044577,-2.000901285965481,-1.5108381872194259,-0.9365855589154103,-1.3134929754359468,-2.2017753918511627,,1.3737927501266438
2025-07-24,-1.4359104681091013,-0.7445201998556413,2.0003623985637375,-0.6601928939609791,-0.3473880844804063,-1.0972438209461604,-1.253386414152444,-0.9719006776489553,,1.0638631197146782
2025-07-25,-1.682297430357202,-1.586512709752824,1.8446184851952383,-1.8423373546369919,-1.2925109369580956,0.914852960425937,-1.2009163616108842,-1.3221450446556433,,1.460773910449102
2025-07-26,-0.9589368157549923,0.24710201032986623,1.3527426450568718,-0.13421554443154135,0.5228415135227434,1.6340977420225702,-0.36306773723119773,-0.06716476144042245,,0.6600210962237757
2025-07-27,0.3540262666514637,1.0698050247595525,2.2279735111736927,-0.7269271513469477,-0.7926013119757549,-0.24447068994741047,-1.2478929685383806,-1.4733273955707928,,1.0171280399954994
2025-07-28,0.9717276716644673,2.0408313893819727,0.7291599985399628,-0.059269608283170835,0.7119562282946956,1.347577360438679,0.013882703185275201,0.023054586839467064,,0.7371824433284613
2025-07-29,-0.8806289096881451,-0.7854996208780783,0.32402381242697137,0.5604446635329132,-0.3314742194582176,1.3907870209163606,0.8255072022654724,1.135687357459681,,0.77925660082823
2025-07-30,0.1451000061440032,-0.12200727877805095,1.6915313926734379,0.15639517285659035,0.05796870534638925,0.026033704763935798,-0.3978670332582185,-0.5832305221702485,,0.3975167269988593
2025-07-31,0.43461114874528434,-0.3468793581730419,0.8960049434891898,-0.0828379409511957,0.6206373205220245,0.9367625800261989,-0.06319966274346225,0.3143023226506189,,0.461904409662627
2025-08-01,0.990946330989584,1.0050457862640558,-0.6400035310637054,-0.09456451677239772,0.5330817416094438,0.9112737687879886,1.1802040268549046,0.9417336988009724,,0.7871066751428816
2025-08-02,1.0944965217668134,0.8974321473014574,-0.7505393743954983,0.4631922398140919,0.8559247481969378,-0.6506248030846474,0.8511979336461459,0.5307091751250033,,0.7617646179163244
2025-08-03,1.5990819759406754,0.4736933716583657,-0.31913254595762874,-0.4435276373797239,0.32258124371077496,0.9791729674622468,-0.53069418493659,0.967631768387688,,0.7044394619292117
2025-08-04,0.9476512906200656,-0.6638510958500758,-0.33559105951038176,1.8179036658124048,0.8285910377668931,0.5678214780385072,-0.15738526759545937,0.86130499726948,,0.7725124865579085
2025-08-05,0.6274653563601952,0.1662167052832338,-0.3210565940118497,-0.5662624694825942,0.39556225564602543,0.15621318145809227,0.12895253222869515,0.07982288942820129,,0.3051939979873609
