x_metric,y_metric,x_col,y_col,lag_days,correlation,p_value,significant,n
Sleep Hours,Active Cal,sleep_total_hours,activity_active_calories,1,0.14460814290974944,0.018507009681524075,True,265
Sleep Hours,Resting HR,sleep_total_hours,activity_resting_hr,1,0.12396068495963752,0.043781449360180844,True,265
Sleep Hours,Battery,sleep_total_hours,body_battery_charged,1,-0.14568597514832984,0.017641432820560916,True,265
Sleep Score,Sleep Hours,sleep_score,sleep_total_hours,1,0.0525632297119388,0.4023256053106263,False,256
Sleep Score,Sleep Score,sleep_score,sleep_score,1,0.03316613832719473,0.5973559382841276,False,256
Sleep Score,HRV,sleep_score,hrv_last_night_avg,1,-0.12958693261923981,0.037887357414981324,True,257
Sleep Score,Steps,sleep_score,activity_steps,1,0.09040852200952719,0.14216011643038984,False,265
Sleep Score,Active Cal,sleep_score,activity_active_calories,1,0.123068665100719,0.045332388061927235,True,265
Sleep Score,Resting HR,sleep_score,activity_resting_hr,1,0.014000302237962003,0.8205464893562708,False,265
Sleep Score,Battery,sleep_score,body_battery_charged,1,-0.06233469767159075,0.31205381766133833,False,265
HRV,Sleep Hours,hrv_last_night_avg,sleep_total_hours,1,-0.12770101858431276,0.0411928984763416,True,256
HRV,Sleep Score,hrv_last_night_avg,sleep_score,1,-0.2176108899378337,0.00045343852327490763,True,256
HRV,HRV,hrv_last_night_avg,hrv_last_night_avg,1,0.39727810489903137,4.14144802472537e-11,True,256
HRV,Steps,hrv_last_night_avg,activity_steps,1,0.25733090071187903,2.2264844713440362e-05,True,265
HRV,Active Cal,hrv_last_night_avg,activity_active_calories,1,0.05461367875960689,0.37588453829123153,False,265
HRV,Resting HR,hrv_last_night_avg,activity_resting_hr,1,-0.4470188161506515,2.012131611108911e-14,True,265
HRV,Battery,hrv_last_night_avg,body_battery_charged,1,0.09078051770796822,0.1405196461622044,False,265
Steps,Sleep Hours,activity_steps,sleep_total_hours,1,-0.045629779832352516,0.4586446170879567,False,266
Steps,Sleep Score,activity_steps,sleep_score,1,-0.056908034384191716,0.3552154435466369,False,266
Steps,HRV,activity_steps,hrv_last_night_avg,1,0.15728808495830832,0.010192727346846495,True,266
Steps,Steps,activity_steps,activity_steps,1,0.1980198757238808,0.0009614055573761395,True,275
Steps,Active Cal,activity_steps,activity_active_calories,1,0.13242242619655598,0.028116784239268635,True,275
Steps,Resting HR,activity_steps,activity_resting_hr,1,-0.10935629297271976,0.0701961993892318,False,275
